Активни деловни субјекти по општини состојба на 31.12.2018 (извор ДЗС)
Општина Аеродром,3675
Општина Бутел,1402
Општина Гази Баба,2733
Општина Ѓорче Петров,1573
Општина Карпош,4110
Општина Кисела Вода,2812
Општина Сарај,504
Општина Центар,7221
Општина Чаир,1903
Општина Шуто Оризари,229
Општина Арачиново,86
Општина Берово,403
Општина Битола,3888
Општина Богданци,282
Општина Боговиње,403
Општина Босилово,251
Општина Брвеница,273
Општина Валандово,361
Општина Василево,185
Општина Вевчани,103
Општина Велес,1793
Општина Виница,512
Општина Врапчиште,465
Општина Гевгелија,1222
Општина Гостивар,2544
Општина Градско,74
Општина Дебар,500
Општина Дебарца,110
Општина Делчево,513
Општина Демир Капија,96
Општина Демир Хисар,239
Општина Дојран,106
Општина Долнени,198
Општина Желино,291
Општина Зелениково,66
Општина Зрновци,55
Општина Илинден,563
Општина Јегуновце,184
Општина Кавадарци,1639
Општина Карбинци,71
Општина Кичево,1447
Општина Конче,75
Општина Кочани,1330
Општина Кратово,215
Општина Крива Паланка,558
Општина Кривогаштани,113
Општина Крушево,206
Општина Куманово,3002
Општина Липково,210
Општина Лозово,44
Општина Маврово и Ростуша,132
Општина Македонска Каменица,207
Општина Македонски Брод,158
Општина Могила,157
Општина Неготино,773
Општина Новаци,83
Општина Ново Село,209
Општина Охрид,2622
Општина Петровец,182
Општина Пехчево,155
Општина Пласница,52
Општина Прилеп,2774
Општина Пробиштип,419
Општина Радовиш,852
Општина Ранковце,50
Општина Ресен,460
Општина Росоман,107
Општина Свети Николе,788
Општина Сопиште,121
Општина Старо Нагоричане,43
Општина Струга,2134
Општина Струмица,2442
Општина Студеничани,259
Општина Теарце,385
Општина Тетово,3595
Општина Центар Жупа,83
Општина Чашка,95
Општина Чешиново-Облешево,128
Општина Чучер Сандево,173
Општина Штип,1839
